original_index,review_title,rating,aspect,sentiment,sentiment_phrase,full_review,publishedDate,placeInfo/addressObj/city,placeInfo/addressObj/state,placeInfo/addressObj/country
1,Simply the BEST place to stay in NYC!,5,attractions,positive,"this is the absolute best hotel in nyc in terms of comfort, convenience, safety, amenities and here's the best part: location!","This is the absolute BEST hotel in NYC in terms of comfort, convenience, safety, amenities and here's the best part: LOCATION!
    Last year, I stayed at the Hilton New York Times Square. I loved the spacious guest rooms and its location just a short walk from Rockefeller Center, Central Park, Bryant Park, NY Public Library, Empire State Building, Junior's Deli, Carmine's, Sardi's and many other restaurants...and of course,  everything in and around Times Square - all within a few minutes from the hotel. There's no need to take an expensive taxi or Uber - just walk out the front door and each of these attractions (and many more) are close by. Headed to the 9/11 Memorial or any other place in lower Manhattan?  They can be reached in less than 30 minutes courtesy of a subway line located just outside the hotel’s front entrance. 
    Based on last years’ experience, I booked the Hilton for this year’s stay. I was shocked upon arrival to view the hotel’s $20 million renovation that included an entirely transformed ground floor lobby, 15th floor Sky Lobby, and three brand new food and beverage options.
   Note: I especially love the fact that guests must pass by the doormen stationed around-the-clock in the ground floor lobby, then take an elevator 15 floors to reach the main, or newly-renovated Sky Lobby. In my opinion, this layout offers the upmost in safety and security for those concerned about visiting a large city. 
   Drawing inspiration from New York’s Gilded Age, the Sky Lobby is a spacious, calming oasis from the city’s noise and activity, outfitted with luxurious, yet comfortable furnishings and a beautiful collection of artwork. Also located on the 15th floor is High Rise, a dining option I enjoyed each morning that offers an indulgent buffet-style brunch in a calm, relaxed setting.
    To fuel up for a long day of walking, I chose from among an impressive selection of traditional breakfast and brunch offerings, including freshly-baked pastries, waffles and breads, fresh fruits, meats, cereals and oatmeal with toppings, fresh juices and coffee. Next door, the Long Acre Market offers fresh coffee and cold beverages, artisanal sandwiches and many other ""to-go"" items (as well as an assortment of gifts) for quick meals and snacks. 
   Guest rooms at the 44-story-high hotel are some of the LARGEST standard rooms in Times Square, an important feature that transforms any stay. Rooms, especially those starting on the 22nd floor, offer sweeping views of New York’s famed skyline, Times Square, the Empire State Building, and the Hudson River.
   Why would you ever want to stay anywhere else? I surely do not - this is my NYC home away from home!",2025-01-31,New York City,NY,United States
1,Simply the BEST place to stay in NYC!,5,attractions,positive,"i loved the spacious guest rooms and its location just a short walk from rockefeller center, central park, bryant park, ny public library, empire state building, junior's deli, carmine's, sardi's and many other restaurants...and of course,  everything in and around times square - all within a few minutes from the hotel.","This is the absolute BEST hotel in NYC in terms of comfort, convenience, safety, amenities and here's the best part: LOCATION!
    Last year, I stayed at the Hilton New York Times Square. I loved the spacious guest rooms and its location just a short walk from Rockefeller Center, Central Park, Bryant Park, NY Public Library, Empire State Building, Junior's Deli, Carmine's, Sardi's and many other restaurants...and of course,  everything in and around Times Square - all within a few minutes from the hotel. There's no need to take an expensive taxi or Uber - just walk out the front door and each of these attractions (and many more) are close by. Headed to the 9/11 Memorial or any other place in lower Manhattan?  They can be reached in less than 30 minutes courtesy of a subway line located just outside the hotel’s front entrance. 
    Based on last years’ experience, I booked the Hilton for this year’s stay. I was shocked upon arrival to view the hotel’s $20 million renovation that included an entirely transformed ground floor lobby, 15th floor Sky Lobby, and three brand new food and beverage options.
   Note: I especially love the fact that guests must pass by the doormen stationed around-the-clock in the ground floor lobby, then take an elevator 15 floors to reach the main, or newly-renovated Sky Lobby. In my opinion, this layout offers the upmost in safety and security for those concerned about visiting a large city. 
   Drawing inspiration from New York’s Gilded Age, the Sky Lobby is a spacious, calming oasis from the city’s noise and activity, outfitted with luxurious, yet comfortable furnishings and a beautiful collection of artwork. Also located on the 15th floor is High Rise, a dining option I enjoyed each morning that offers an indulgent buffet-style brunch in a calm, relaxed setting.
    To fuel up for a long day of walking, I chose from among an impressive selection of traditional breakfast and brunch offerings, including freshly-baked pastries, waffles and breads, fresh fruits, meats, cereals and oatmeal with toppings, fresh juices and coffee. Next door, the Long Acre Market offers fresh coffee and cold beverages, artisanal sandwiches and many other ""to-go"" items (as well as an assortment of gifts) for quick meals and snacks. 
   Guest rooms at the 44-story-high hotel are some of the LARGEST standard rooms in Times Square, an important feature that transforms any stay. Rooms, especially those starting on the 22nd floor, offer sweeping views of New York’s famed skyline, Times Square, the Empire State Building, and the Hudson River.
   Why would you ever want to stay anywhere else? I surely do not - this is my NYC home away from home!",2025-01-31,New York City,NY,United States
1,Simply the BEST place to stay in NYC!,5,amenities,positive,"this is the absolute best hotel in nyc in terms of comfort, convenience, safety, amenities and here's the best part: location!","This is the absolute BEST hotel in NYC in terms of comfort, convenience, safety, amenities and here's the best part: LOCATION!
    Last year, I stayed at the Hilton New York Times Square. I loved the spacious guest rooms and its location just a short walk from Rockefeller Center, Central Park, Bryant Park, NY Public Library, Empire State Building, Junior's Deli, Carmine's, Sardi's and many other restaurants...and of course,  everything in and around Times Square - all within a few minutes from the hotel. There's no need to take an expensive taxi or Uber - just walk out the front door and each of these attractions (and many more) are close by. Headed to the 9/11 Memorial or any other place in lower Manhattan?  They can be reached in less than 30 minutes courtesy of a subway line located just outside the hotel’s front entrance. 
    Based on last years’ experience, I booked the Hilton for this year’s stay. I was shocked upon arrival to view the hotel’s $20 million renovation that included an entirely transformed ground floor lobby, 15th floor Sky Lobby, and three brand new food and beverage options.
   Note: I especially love the fact that guests must pass by the doormen stationed around-the-clock in the ground floor lobby, then take an elevator 15 floors to reach the main, or newly-renovated Sky Lobby. In my opinion, this layout offers the upmost in safety and security for those concerned about visiting a large city. 
   Drawing inspiration from New York’s Gilded Age, the Sky Lobby is a spacious, calming oasis from the city’s noise and activity, outfitted with luxurious, yet comfortable furnishings and a beautiful collection of artwork. Also located on the 15th floor is High Rise, a dining option I enjoyed each morning that offers an indulgent buffet-style brunch in a calm, relaxed setting.
    To fuel up for a long day of walking, I chose from among an impressive selection of traditional breakfast and brunch offerings, including freshly-baked pastries, waffles and breads, fresh fruits, meats, cereals and oatmeal with toppings, fresh juices and coffee. Next door, the Long Acre Market offers fresh coffee and cold beverages, artisanal sandwiches and many other ""to-go"" items (as well as an assortment of gifts) for quick meals and snacks. 
   Guest rooms at the 44-story-high hotel are some of the LARGEST standard rooms in Times Square, an important feature that transforms any stay. Rooms, especially those starting on the 22nd floor, offer sweeping views of New York’s famed skyline, Times Square, the Empire State Building, and the Hudson River.
   Why would you ever want to stay anywhere else? I surely do not - this is my NYC home away from home!",2025-01-31,New York City,NY,United States
1,Simply the BEST place to stay in NYC!,5,amenities,positive,"drawing inspiration from new york’s gilded age, the sky lobby is a spacious, calming oasis from the city’s noise and activity, outfitted with luxurious, yet comfortable furnishings and a beautiful collection of artwork.","This is the absolute BEST hotel in NYC in terms of comfort, convenience, safety, amenities and here's the best part: LOCATION!
    Last year, I stayed at the Hilton New York Times Square. I loved the spacious guest rooms and its location just a short walk from Rockefeller Center, Central Park, Bryant Park, NY Public Library, Empire State Building, Junior's Deli, Carmine's, Sardi's and many other restaurants...and of course,  everything in and around Times Square - all within a few minutes from the hotel. There's no need to take an expensive taxi or Uber - just walk out the front door and each of these attractions (and many more) are close by. Headed to the 9/11 Memorial or any other place in lower Manhattan?  They can be reached in less than 30 minutes courtesy of a subway line located just outside the hotel’s front entrance. 
    Based on last years’ experience, I booked the Hilton for this year’s stay. I was shocked upon arrival to view the hotel’s $20 million renovation that included an entirely transformed ground floor lobby, 15th floor Sky Lobby, and three brand new food and beverage options.
   Note: I especially love the fact that guests must pass by the doormen stationed around-the-clock in the ground floor lobby, then take an elevator 15 floors to reach the main, or newly-renovated Sky Lobby. In my opinion, this layout offers the upmost in safety and security for those concerned about visiting a large city. 
   Drawing inspiration from New York’s Gilded Age, the Sky Lobby is a spacious, calming oasis from the city’s noise and activity, outfitted with luxurious, yet comfortable furnishings and a beautiful collection of artwork. Also located on the 15th floor is High Rise, a dining option I enjoyed each morning that offers an indulgent buffet-style brunch in a calm, relaxed setting.
    To fuel up for a long day of walking, I chose from among an impressive selection of traditional breakfast and brunch offerings, including freshly-baked pastries, waffles and breads, fresh fruits, meats, cereals and oatmeal with toppings, fresh juices and coffee. Next door, the Long Acre Market offers fresh coffee and cold beverages, artisanal sandwiches and many other ""to-go"" items (as well as an assortment of gifts) for quick meals and snacks. 
   Guest rooms at the 44-story-high hotel are some of the LARGEST standard rooms in Times Square, an important feature that transforms any stay. Rooms, especially those starting on the 22nd floor, offer sweeping views of New York’s famed skyline, Times Square, the Empire State Building, and the Hudson River.
   Why would you ever want to stay anywhere else? I surely do not - this is my NYC home away from home!",2025-01-31,New York City,NY,United States
2,Good choice for family vacation,4,service,positive,"good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for nyc with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying","Good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for NYC with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying",2025-04-24,New York City,NY,United States
2,Good choice for family vacation,4,cleanliness,positive,"good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for nyc with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying","Good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for NYC with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying",2025-04-24,New York City,NY,United States
2,Good choice for family vacation,4,attractions,positive,"good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for nyc with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying","Good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for NYC with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying",2025-04-24,New York City,NY,United States
2,Good choice for family vacation,4,amenities,positive,"good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for nyc with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying","Good location for family vacation, as we could confirm two adjoining rooms ahead of time; competent friendly staff, particularly housekeeping on 43rd fl; room clean and very spacious for NYC with phenomenal views from high floor; some signs of wear, eg sliding door to bathroom lacked bumper, two of us really crushed fingers closing bathroom door; lack of proper room service slightly annoying",2025-04-24,New York City,NY,United States
3,Ver bad experience and poor service,2,amenities,negative,"terrible experience for us...
i have booked 6 months before my stay throught an agency a deluxe room with 2 queen beds high floor.","Terrible experience for us...
I have booked 6 months before my stay throught an agency a Deluxe room with 2 queen beds high floor. It was only for 1 night with my husband and my 2 kids.
We checked-in very late in the evening (around 11pm) and what was my surprise when they gave us the Aladdin room with 1 bed + a sofa (not made as a bed). I went back to the front desk and I was told that ""as you made the reservation through a third-party (an agency), we can't guarranty the room""... But WHAT ?? I have paid extra to be on high floor!! So they could give me a room with 2 twin beds but low floor with a smell of humidity and a hand-written note for another guest who changed his room I suppose...
They treated us very badly, no respect and I certainly won't recommand this hotel to anyone. They are tons of hotels in NY, don't bother to go there...",2025-04-24,New York City,NY,United States
4,Excellent Hotel and location.,5,cleanliness,positive,"the rooms were very spacious and modern, with a clean and well-maintained bathroom.","i recently spent three nights at the Hilton Hotel 42nd Street Times Square, and it was an excellent stay. The rooms were very spacious and modern, with a clean and well-maintained bathroom. The hotel's location was fantastic, with easy access to major sights and attractions on foot or via the nearby subway station (less than a 2-minute walk). The complimentary buffet breakfast was impressive, offering a wide range of options. Special mention to General Manager Thomas Caska, who provided exceptional service. I highly recommend this hotel to anyone looking for a comfortable and convenient stay in the heart of New York City.",2025-04-23,New York City,NY,United States
